GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Math,org.apache.commons.math.exception.util,ExceptionContext,3,344,0,20,1,79,1,27,1,17
Commons Math,org.apache.commons.math.special,Erf,0,112,0,22,0,18,0,14,0,3
Commons Math,org.apache.commons.math.special,Beta,14,133,1,23,2,19,3,15,2,4
Commons Math,org.apache.commons.math.special,Gamma.new ContinuedFraction() {...},0,27,0,0,0,3,0,3,0,3
Commons Math,org.apache.commons.math.special,Beta.new ContinuedFraction() {...},0,87,0,2,0,8,0,4,0,3
Commons Math,org.apache.commons.math.special,Gamma,15,420,6,46,3,53,6,28,0,8
Commons Math,org.apache.commons.math.stat.inference,TestUtils,26,155,0,0,5,31,5,28,5,28
Commons Math,org.apache.commons.math.stat.inference,MannWhitneyUTestImpl,10,186,0,10,3,35,1,11,1,6
Commons Math,org.apache.commons.math.stat.inference,OneWayAnovaImpl.AnovaStats,0,12,0,0,0,5,0,1,0,1
Commons Math,org.apache.commons.math.stat.inference,ChiSquareTestImpl,38,760,8,74,5,126,8,48,0,15
Commons Math,org.apache.commons.math.stat.inference,WilcoxonSignedRankTestImpl,25,281,3,31,6,56,4,22,1,8
Commons Math,org.apache.commons.math.stat.inference,TTestImpl,23,583,1,23,5,97,2,41,1,30
Commons Math,org.apache.commons.math.stat.inference,OneWayAnovaImpl,20,216,2,14,2,46,2,11,0,5
Commons Math,org.apache.commons.math.filter,KalmanFilter,85,302,10,24,21,69,14,15,4,8
Commons Math,org.apache.commons.math.filter,DefaultMeasurementModel,11,15,0,0,2,6,1,3,1,3
Commons Math,org.apache.commons.math.filter,DefaultProcessModel,40,33,0,0,4,12,2,6,2,6
Commons Math,org.apache.commons.math.genetics,OnePointCrossover,10,97,3,7,2,19,3,5,0,3
Commons Math,org.apache.commons.math.genetics,Chromosome,2,56,1,7,1,15,2,8,1,5
Commons Math,org.apache.commons.math.genetics,InvalidRepresentationException,0,5,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math.genetics,RandomKeyMutation,13,33,1,1,2,8,1,2,0,2
Commons Math,org.apache.commons.math.genetics,TournamentSelection.new ListPopulation() {...},2,7,0,0,1,1,1,1,1,1
Commons Math,org.apache.commons.math.genetics,ListPopulation,37,75,3,7,9,23,6,10,3,8
Commons Math,org.apache.commons.math.genetics,BinaryMutation,5,41,1,3,1,8,1,3,0,2
Commons Math,org.apache.commons.math.genetics,GeneticAlgorithm,13,149,6,12,4,39,7,14,1,11
Commons Math,org.apache.commons.math.genetics,RandomKey,57,301,3,29,4,63,4,24,1,11
Commons Math,org.apache.commons.math.genetics,ElitisticListPopulation,17,64,4,2,4,15,3,5,1,4
Commons Math,org.apache.commons.math.genetics,ChromosomePair,15,15,0,0,1,6,1,3,1,3
Commons Math,org.apache.commons.math.genetics,TournamentSelection,12,62,1,3,4,14,3,4,2,3
Commons Math,org.apache.commons.math.genetics,AbstractListChromosome,16,25,0,0,1,8,1,4,1,4
Commons Math,org.apache.commons.math.genetics,BinaryChromosome,2,96,1,15,1,22,1,12,0,5
Commons Math,org.apache.commons.math.genetics,FixedGenerationCount,8,26,1,3,2,9,2,3,1,2
Commons Math,org.apache.commons.math.optimization.general,NonLinearConjugateGradientOptimizer,31,335,7,27,8,66,8,16,2,5
Commons Math,org.apache.commons.math.optimization.general,ConjugateGradientFormula,0,24,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math.optimization.general,NonLinearConjugateGradientOptimizer.IdentityPreconditioner,0,7,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math.optimization.general,GaussNewtonOptimizer,4,216,1,17,2,48,2,12,1,4
Commons Math,org.apache.commons.math.optimization.general,NonLinearConjugateGradientOptimizer.LineSearchFunction,0,63,0,4,0,11,0,4,0,2
Commons Math,org.apache.commons.math.optimization.general,AbstractScalarDifferentiableOptimizer,3,20,0,0,1,5,1,3,1,3
Commons Math,org.apache.commons.math.optimization.general,LevenbergMarquardtOptimizer,66,2054,20,182,10,347,17,94,0,10
Commons Math,org.apache.commons.math.optimization.general,AbstractLeastSquaresOptimizer,9,343,1,19,1,60,1,20,0,11
Commons Math,org.apache.commons.math.stat.regression,AbstractMultipleLinearRegression,67,407,6,46,9,77,7,37,1,17
Commons Math,org.apache.commons.math.stat.regression,ModelSpecificationException,0,5,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math.stat.regression,RegressionResults,140,317,28,30,34,55,28,18,4,13
Commons Math,org.apache.commons.math.stat.regression,GLSMultipleLinearRegression,21,95,0,2,3,21,1,7,1,6
Commons Math,org.apache.commons.math.stat.regression,SimpleRegression,513,891,62,54,65,138,45,44,4,27
Commons Math,org.apache.commons.math.stat.regression,OLSMultipleLinearRegression,0,212,0,12,0,39,0,17,0,11
Commons Math,org.apache.commons.math.stat.regression,MillerUpdatingRegression,586,2528,66,208,102,429,57,104,2,22
Commons Math,org.apache.commons.math.exception,MathArithmeticException,7,33,0,0,2,9,2,3,2,3
Commons Math,org.apache.commons.math.exception,NoBracketingException,12,52,0,0,4,8,4,2,4,2
Commons Math,org.apache.commons.math.exception,MathIllegalArgumentException,8,17,0,0,2,5,2,2,2,2
Commons Math,org.apache.commons.math.exception,MathInternalError,29,0,0,0,7,0,3,0,3,0
Commons Math,org.apache.commons.math.exception,MathUnsupportedOperationException,11,20,0,0,3,6,3,2,3,2
Commons Math,org.apache.commons.math.exception,NotFiniteNumberException,0,12,0,0,0,4,0,2,0,2
Commons Math,org.apache.commons.math.exception,MathIllegalNumberException,0,20,0,0,0,4,0,2,0,2
Commons Math,org.apache.commons.math.exception,NonMonotonicSequenceException,0,68,0,6,0,19,0,9,0,6
Commons Math,org.apache.commons.math.exception,DimensionMismatchException,0,25,0,0,0,6,0,3,0,3
Commons Math,org.apache.commons.math.exception,NumberIsTooLargeException,0,34,0,2,0,10,0,5,0,4
Commons Math,org.apache.commons.math.exception,MathParseException,18,23,0,0,4,4,1,1,1,1
Commons Math,org.apache.commons.math.exception,ZeroException,6,7,0,0,2,2,1,1,1,1
Commons Math,org.apache.commons.math.exception,MultiDimensionMismatchException,10,42,0,0,2,8,2,4,2,4
Commons Math,org.apache.commons.math.exception,MathIllegalStateException,15,31,0,0,4,9,1,5,1,5
Commons Math,org.apache.commons.math.exception,MaxCountExceededException,0,30,0,0,0,7,0,3,0,3
Commons Math,org.apache.commons.math.exception,ConvergenceException,0,14,0,0,0,5,0,2,0,2
Commons Math,org.apache.commons.math.exception,NotPositiveException,0,15,0,0,0,4,0,2,0,2
Commons Math,org.apache.commons.math.exception,NotStrictlyPositiveException,0,15,0,0,0,4,0,2,0,2
Commons Math,org.apache.commons.math.exception,TooManyEvaluationsException,0,10,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math.exception,NullArgumentException,0,11,0,0,0,4,0,2,0,2
Commons Math,org.apache.commons.math.exception,OutOfRangeException,0,34,0,0,0,8,0,4,0,4
Commons Math,org.apache.commons.math.exception,NumberIsTooSmallException,0,34,0,2,0,10,0,5,0,4
Commons Math,org.apache.commons.math.exception,NoDataException,0,10,0,0,0,4,0,2,0,2
Commons Math,org.apache.commons.math.ode.sampling,StepNormalizer,19,268,1,33,5,60,3,23,2,7
Commons Math,org.apache.commons.math.ode.sampling,AbstractStepInterpolator,95,630,9,25,14,167,11,32,2,24
Commons Math,org.apache.commons.math.ode.sampling,DummyStepHandler.LazyHolder,6,0,0,0,1,0,1,0,1,0
Commons Math,org.apache.commons.math.ode.sampling,DummyStepHandler,6,0,0,0,4,0,4,0,4,0
Commons Math,org.apache.commons.math.ode.sampling,StepNormalizerBounds,0,69,0,0,0,11,0,4,0,4
Commons Math,org.apache.commons.math.ode.sampling,NordsieckStepInterpolator,27,387,11,27,7,80,12,17,1,9
Commons Math,org.apache.commons.math.ode.sampling,StepNormalizerMode,0,24,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math.analysis.polynomials,PolynomialFunctionNewtonForm,37,209,3,13,7,36,5,12,2,7
Commons Math,org.apache.commons.math.analysis.polynomials,PolynomialSplineFunction,4,202,2,16,1,34,2,14,0,7
Commons Math,org.apache.commons.math.analysis.polynomials,PolynomialFunctionLagrangeForm,82,450,3,31,15,73,5,22,3,7
Commons Math,org.apache.commons.math.analysis.polynomials,PolynomialFunction,83,463,13,45,17,84,13,32,2,14
Commons Math,org.apache.commons.math.analysis.polynomials,PolynomialFunction.Parametric,0,31,0,2,0,8,0,4,0,3
Commons Math,org.apache.commons.math.analysis.polynomials,PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,23,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math.analysis.polynomials,PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,22,0,0,0,3,0,2,0,2
Commons Math,org.apache.commons.math.analysis.polynomials,PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,32,0,0,0,3,0,2,0,2
Commons Math,org.apache.commons.math.analysis.polynomials,PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,38,0,0,0,3,0,2,0,2
Commons Math,org.apache.commons.math.analysis.polynomials,PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,97,0,0,0,8,0,2,0,2
Commons Math,org.apache.commons.math.analysis.polynomials,PolynomialsUtils,0,444,0,20,0,72,0,19,0,9
Commons Math,org.apache.commons.math.analysis.polynomials,PolynomialsUtils.JacobiKey,3,38,4,4,1,8,4,3,0,3
Commons Math,org.apache.commons.math.geometry.partitioning.utilities,OrderedTuple,101,462,24,64,25,96,22,34,3,9
Commons Math,org.apache.commons.math.geometry.partitioning.utilities,AVLTree.Node,0,737,2,108,0,196,2,72,0,15
Commons Math,org.apache.commons.math.geometry.partitioning.utilities,AVLTree.Skew,0,34,0,0,0,4,0,1,0,1
Commons Math,org.apache.commons.math.geometry.partitioning.utilities,AVLTree,14,143,7,29,3,39,7,20,0,9
Commons Math,org.apache.commons.math.util,FastMathCalc,1923,0,62,0,275,0,48,0,17,0
Commons Math,org.apache.commons.math.util,OpenIntToDoubleHashMap.Iterator,16,97,4,12,4,24,4,9,0,5
Commons Math,org.apache.commons.math.util,MultidimensionalCounter,30,229,2,22,4,45,2,18,1,7
Commons Math,org.apache.commons.math.util,FastMath.ExpIntTable,72,9,6,2,16,5,4,1,0,1
Commons Math,org.apache.commons.math.util,TransformerMap,36,134,8,12,10,31,8,14,1,11
Commons Math,org.apache.commons.math.util,FastMathLiteralArrays,0,33538,0,0,0,10,0,6,0,6
Commons Math,org.apache.commons.math.util,MultidimensionalCounter.Iterator,11,95,1,7,3,16,4,7,3,4
Commons Math,org.apache.commons.math.util,MathArrays.OrderDirection,0,24,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math.util,OpenIntToFieldHashMap,12,694,0,68,5,155,2,57,2,23
Commons Math,org.apache.commons.math.util,OpenIntToFieldHashMap.Iterator,21,98,4,12,5,23,4,9,0,5
Commons Math,org.apache.commons.math.util,ArithmeticUtils,0,1363,6,212,0,266,6,129,0,26
Commons Math,org.apache.commons.math.util,ResizableDoubleArray,19,1081,8,76,3,217,8,73,0,39
Commons Math,org.apache.commons.math.util,MathArrays,287,1488,56,124,59,273,33,85,3,24
Commons Math,org.apache.commons.math.util,Pair,31,55,7,13,7,15,7,9,2,4
Commons Math,org.apache.commons.math.util,DefaultTransformer,4,48,1,7,2,13,2,6,1,3
Commons Math,org.apache.commons.math.util,OpenIntToDoubleHashMap,0,682,0,68,0,157,0,58,0,24
Commons Math,org.apache.commons.math.util,FastMath.lnMant,28,7,4,2,5,4,3,1,0,1
Commons Math,org.apache.commons.math.util,CompositeFormat,0,214,1,27,0,56,1,21,0,8
Commons Math,org.apache.commons.math.util,Incrementor,5,67,0,6,1,21,0,13,0,10
Commons Math,org.apache.commons.math.util,BigReal,13,384,0,4,6,72,4,33,4,31
Commons Math,org.apache.commons.math.util,FastMath,184,8040,52,736,33,1426,44,424,1,70
Commons Math,org.apache.commons.math.util,IterationEvent,0,4,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math.util,IterationManager,10,99,0,8,3,28,2,13,2,9
Commons Math,org.apache.commons.math.util,Precision,49,480,20,79,3,95,15,58,3,17
Commons Math,org.apache.commons.math.util,BigRealField.LazyHolder,0,6,0,0,0,1,0,1,0,1
Commons Math,org.apache.commons.math.util,MathUtils,40,175,22,40,4,35,16,27,0,12
Commons Math,org.apache.commons.math.util,MathArrays.new Comparator() {...},13,23,2,1,3,5,2,2,0,2
Commons Math,org.apache.commons.math.util,ContinuedFraction,83,178,11,19,12,46,13,7,2,3
Commons Math,org.apache.commons.math.util,BigRealField,2,8,0,0,1,4,1,4,1,4
Commons Math,org.apache.commons.math.util,FastMathResources,442,0,28,0,93,0,26,0,12,0
Commons Math,org.apache.commons.math.util,Incrementor.new Incrementor.MaxCountExceededCallback() {...},0,9,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math.util,FastMath.ExpFracTable,50,9,4,2,12,5,3,1,0,1
Commons Math,org.apache.commons.math.distribution,BetaDistribution,46,167,8,14,11,40,10,19,4,14
Commons Math,org.apache.commons.math.distribution,CauchyDistribution,67,119,8,10,21,24,13,14,9,9
Commons Math,org.apache.commons.math.distribution,HypergeometricDistribution,23,360,2,22,5,65,4,26,2,16
Commons Math,org.apache.commons.math.distribution,BinomialDistribution,22,118,3,15,5,28,5,16,2,10
Commons Math,org.apache.commons.math.distribution,WeibullDistribution,31,185,2,14,10,39,10,15,8,9
Commons Math,org.apache.commons.math.distribution,PoissonDistribution,18,124,1,11,7,30,6,16,5,11
Commons Math,org.apache.commons.math.distribution,SaddlePointExpansion,16,368,1,15,1,41,1,11,0,4
Commons Math,org.apache.commons.math.distribution,KolmogorovSmirnovDistribution,106,377,12,36,16,59,13,18,3,4
Commons Math,org.apache.commons.math.distribution,GammaDistribution,8,167,0,16,4,39,4,21,4,13
Commons Math,org.apache.commons.math.distribution,AbstractContinuousDistribution,27,107,4,8,7,26,5,8,2,5
Commons Math,org.apache.commons.math.distribution,ZipfDistribution,5,164,0,14,2,37,2,17,2,10
Commons Math,org.apache.commons.math.distribution,AbstractIntegerDistribution,49,181,6,22,13,44,8,18,3,9
Commons Math,org.apache.commons.math.distribution,TDistribution,8,166,1,17,4,44,5,20,4,12
Commons Math,org.apache.commons.math.distribution,AbstractDistribution,2,63,1,5,1,18,2,6,1,4
Commons Math,org.apache.commons.math.distribution,PascalDistribution,23,135,3,11,6,33,6,14,3,10
Commons Math,org.apache.commons.math.distribution,FDistribution,8,228,0,16,4,52,4,21,4,13
Commons Math,org.apache.commons.math.distribution,ExponentialDistribution,34,114,4,12,12,26,10,15,8,9
Commons Math,org.apache.commons.math.distribution,NormalDistribution,13,224,0,20,6,51,5,26,5,16
Commons Math,org.apache.commons.math.distribution,ChiSquaredDistribution,8,96,0,8,4,26,4,16,4,12
Commons Math,org.apache.commons.math.distribution,AbstractContinuousDistribution.new UnivariateFunction() {...},0,17,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math.geometry,VectorFormat,37,150,1,15,13,38,8,12,7,5
Commons Math,org.apache.commons.math.dfp,DfpField.RoundingMode,0,84,0,0,0,9,0,1,0,1
Commons Math,org.apache.commons.math.dfp,BracketingNthOrderBrentSolverDFP,66,543,7,59,13,116,9,36,3,7
Commons Math,org.apache.commons.math.dfp,DfpMath,180,1693,40,154,34,342,29,88,1,19
Commons Math,org.apache.commons.math.dfp,DfpField,48,741,8,38,13,154,20,43,12,28
Commons Math,org.apache.commons.math.dfp,DfpDec,125,563,12,100,25,109,22,56,10,9
Commons Math,org.apache.commons.math.dfp,Dfp,398,4745,88,650,96,930,88,357,5,64
Commons Math,org.apache.commons.math.transform,FastSineTransformer,68,202,2,6,13,32,5,9,3,7
Commons Math,org.apache.commons.math.transform,FastHadamardTransformer,33,203,1,15,6,38,3,13,2,6
Commons Math,org.apache.commons.math.transform,FastFourierTransformer.RootsOfUnity,66,177,8,16,8,35,8,9,0,5
Commons Math,org.apache.commons.math.transform,FastFourierTransformer,105,865,3,61,18,136,8,48,5,19
Commons Math,org.apache.commons.math.transform,FastCosineTransformer,72,256,1,7,10,36,4,10,3,7
Commons Math,org.apache.commons.math.transform,FastFourierTransformer.MultiDimensionalComplexMatrix,82,258,8,22,12,53,6,16,0,7
Commons Math,org.apache.commons.math.ode.nonstiff,HighamHall54StepInterpolator,0,449,1,7,0,41,1,7,0,4
Commons Math,org.apache.commons.math.ode.nonstiff,ClassicalRungeKuttaIntegrator,0,88,0,0,0,5,0,2,0,2
Commons Math,org.apache.commons.math.ode.nonstiff,DormandPrince853StepInterpolator,8,1573,5,43,0,115,5,29,0,10
Commons Math,org.apache.commons.math.ode.nonstiff,DormandPrince54StepInterpolator,0,454,1,15,0,62,1,13,0,6
Commons Math,org.apache.commons.math.ode.nonstiff,AdaptiveStepsizeIntegrator,14,398,6,40,2,84,5,30,0,12
Commons Math,org.apache.commons.math.ode.nonstiff,ThreeEighthesStepInterpolator,0,308,1,7,0,38,1,7,0,4
Commons Math,org.apache.commons.math.ode.nonstiff,EulerStepInterpolator,0,100,1,7,0,13,1,7,0,4
Commons Math,org.apache.commons.math.ode.nonstiff,RungeKuttaIntegrator,0,347,0,28,0,56,0,16,0,2
Commons Math,org.apache.commons.math.ode.nonstiff,AdamsIntegrator,0,48,0,0,0,10,0,5,0,5
Commons Math,org.apache.commons.math.ode.nonstiff,GraggBulirschStoerStepInterpolator,58,839,15,43,9,127,14,25,0,10
Commons Math,org.apache.commons.math.ode.nonstiff,MidpointIntegrator,0,42,0,0,0,5,0,2,0,2
Commons Math,org.apache.commons.math.ode.nonstiff,MidpointStepInterpolator,0,150,1,7,0,24,1,7,0,4
Commons Math,org.apache.commons.math.ode.nonstiff,GillStepInterpolator,0,307,1,7,0,43,1,8,0,5
Commons Math,org.apache.commons.math.ode.nonstiff,DormandPrince54Integrator,0,318,0,4,0,18,0,7,0,5
Commons Math,org.apache.commons.math.ode.nonstiff,ClassicalRungeKuttaStepInterpolator,0,269,1,7,0,35,1,7,0,4
Commons Math,org.apache.commons.math.ode.nonstiff,DormandPrince853Integrator,0,895,0,6,0,45,0,8,0,5
Commons Math,org.apache.commons.math.ode.nonstiff,EmbeddedRungeKuttaIntegrator,0,595,0,48,0,107,0,33,0,9
Commons Math,org.apache.commons.math.ode.nonstiff,GraggBulirschStoerIntegrator,87,1925,45,189,16,298,36,95,0,13
Commons Math,org.apache.commons.math.ode.nonstiff,GillIntegrator,0,117,0,0,0,8,0,2,0,2
Commons Math,org.apache.commons.math.ode.nonstiff,AdamsMoultonIntegrator.Corrector,13,132,2,6,0,23,2,6,0,4
Commons Math,org.apache.commons.math.ode.nonstiff,AdamsNordsieckTransformer,4,405,0,20,1,68,1,17,1,7
Commons Math,org.apache.commons.math.ode.nonstiff,RungeKuttaStepInterpolator,17,221,7,23,2,49,7,14,0,6
Commons Math,org.apache.commons.math.ode.nonstiff,HighamHall54Integrator,0,331,0,6,0,21,0,8,0,5
Commons Math,org.apache.commons.math.ode.nonstiff,AdamsBashforthIntegrator,27,361,2,30,2,72,2,17,0,3
Commons Math,org.apache.commons.math.ode.nonstiff,AdamsMoultonIntegrator,16,366,1,29,2,72,1,17,0,3
Commons Math,org.apache.commons.math.ode.nonstiff,EulerIntegrator,0,25,0,0,0,5,0,2,0,2
Commons Math,org.apache.commons.math.ode.nonstiff,ThreeEighthesIntegrator,0,88,0,0,0,5,0,2,0,2
Commons Math,org.apache.commons.math.ode,ContinuousOutputModel,4,529,3,45,1,109,3,31,0,10
Commons Math,org.apache.commons.math.ode,MultistepIntegrator.InitializationCompletedMarkerException,0,5,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math.ode,JacobianMatrices,59,358,9,25,9,69,9,19,0,11
Commons Math,org.apache.commons.math.ode,MultistepIntegrator.CountingDifferentialEquations,0,19,0,0,0,6,0,3,0,3
Commons Math,org.apache.commons.math.ode,EquationsMapper,16,43,2,2,2,12,2,5,0,5
Commons Math,org.apache.commons.math.ode,ParameterConfiguration,0,19,0,0,0,8,0,4,0,4
